vehicleType,yearOfRegistration,gearbox,kilometer,notRepairedDamage,fuelType,monthOfRegistration,brand,price
NaN,1993,manual,150000,NaN,petrol,0,volkswagen,480000
coupe,2011,manual,125000,yes,diesel,5,audi,183000
suv,2004,automatic,125000,NaN,diesel,8,jeep,98000
kleinwagen,2001,manual,150000,no,petrol,6,volkswagen,158000
kleinwagen,2008,manual,90000,no,diesel,7,skoda,360000
limousine,1995,manual,150000,yes,petrol,10,bmw,65000
cabrio,2004,manual,150000,no,petrol,8,peugeot,220000
limousine,1980,manual,40000,no,petrol,7,volkswagen,10000
bus,2014,manual,30000,NaN,petrol,8,ford,145000
kleinwagen,1998,manual,150000,NaN,NaN,0,volkswagen,999
limousine,2004,manual,150000,no,petrol,12,mazda,2000
kombi,2005,manual,150000,yes,diesel,12,volkswagen,2799
kombi,1995,manual,150000,NaN,petrol,11,volkswagen,999
kombi,2004,manual,150000,no,NaN,2,volkswagen,2500
suv,2011,manual,70000,no,diesel,3,nissan,17999
kleinwagen,1910,NaN,5000,NaN,petrol,0,ford,450
NaN,2016,NaN,150000,NaN,petrol,0,volkswagen,300
kleinwagen,2004,automatic,150000,no,petrol,2,renault,1750
bus,2007,manual,150000,no,diesel,6,ford,7550
bus,2004,manual,150000,no,petrol,1,mercedes_benz,1850
coupe,2009,manual,100000,no,petrol,4,volkswagen,10400
limousine,2002,automatic,150000,no,petrol,7,bmw,3699
NaN,2018,manual,150000,no,petrol,5,opel,2900
kleinwagen,1997,manual,150000,no,petrol,5,seat,450
limousine,1990,manual,150000,yes,petrol,10,mercedes_benz,500
kombi,2002,automatic,150000,yes,diesel,9,bmw,2500
NaN,2017,manual,125000,no,NaN,4,citroen,5555
limousine,2008,manual,60000,no,petrol,11,honda,6900
bus,1981,manual,5000,no,petrol,1,volkswagen,1990
kleinwagen,2003,manual,150000,no,petrol,3,fiat,690
limousine,1992,automatic,150000,NaN,petrol,9,mercedes_benz,1280
coupe,2001,NaN,150000,NaN,NaN,0,opel,1200
kleinwagen,1993,manual,150000,no,petrol,3,volkswagen,800
NaN,1997,manual,150000,no,NaN,3,bmw,2300
kleinwagen,2002,manual,150000,no,petrol,4,ford,750
kombi,2008,manual,150000,no,petrol,10,mercedes_benz,7999
limousine,2006,manual,150000,no,diesel,10,volkswagen,6600
kleinwagen,2013,manual,40000,no,petrol,4,nissan,7999
andere,2003,manual,150000,no,diesel,8,mercedes_benz,1400
NaN,2000,manual,150000,NaN,diesel,2,volkswagen,800
bus,2006,manual,150000,no,diesel,4,mercedes_benz,5000
limousine,2010,automatic,80000,no,diesel,12,mercedes_benz,20300
NaN,2016,manual,150000,yes,petrol,3,opel,150
kombi,2000,manual,150000,yes,petrol,0,alfa_romeo,250
kleinwagen,1997,manual,150000,yes,NaN,3,fiat,350
limousine,1994,manual,100000,yes,petrol,6,ford,600
kombi,2005,manual,150000,yes,diesel,9,mercedes_benz,3300
kombi,1997,automatic,150000,no,petrol,10,subaru,1600
suv,2005,manual,150000,NaN,diesel,8,volvo,8000
bus,2001,manual,150000,no,diesel,7,mitsubishi,1800
kleinwagen,2009,manual,60000,no,petrol,12,ford,6800
bus,2004,manual,150000,no,petrol,12,renault,2990
limousine,1995,manual,150000,no,diesel,4,mercedes_benz,1
limousine,2003,manual,150000,NaN,diesel,9,audi,2400
limousine,1984,automatic,150000,NaN,petrol,3,opel,1222
NaN,2000,NaN,150000,NaN,NaN,0,ford,250
kleinwagen,2013,manual,60000,no,petrol,4,audi,14500
NaN,2009,NaN,150000,NaN,NaN,0,opel,8390
limousine,2003,manual,150000,no,diesel,5,volkswagen,3850
limousine,2013,automatic,40000,no,diesel,6,bmw,23490
